numStations=3
Station 0:Luca: (43.109762, -77.410156)
Station 1:Connor: (40.73902,-73.14815)
Station 2:Anthony: (39.7744, -76.679444)
numEvents=3
Access Number: 0            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-03-23T05:02:31.941     437.15537938     437.15536831    437.15539042   437.15778887     437.15778241    437.15779532   437.15660572     437.15659438    437.15661703
2020-03-23T05:02:32.441     437.15536091     437.15534980    437.15537200   437.15777808     437.15777158    437.15778457   437.15658679     437.15657537    437.15659816
2020-03-23T05:02:32.941     437.15534237     437.15533121    437.15535351   437.15776723     437.15776068    437.15777375   437.15656773     437.15655623    437.15657918
2020-03-23T05:02:33.441     437.15532376     437.15531255    437.15533493   437.15775631     437.15774972    437.15776287   437.15654855     437.15653698    437.15656007
2020-03-23T05:02:33.941     437.15530506     437.15529381    437.15531629   437.15774532     437.15773869    437.15775192   437.15652925     437.15651761    437.15654084
2020-03-23T05:02:34.441     437.15528630     437.15527500    437.15529757   437.15773426     437.15772759    437.15774090   437.15650982     437.15649811    437.15652149
2020-03-23T05:02:34.941     437.15526745     437.15525611    437.15527877   437.15772313     437.15771642    437.15772982   437.15649028     437.15647849    437.15650202
2020-03-23T05:02:35.441     437.15524853     437.15523715    437.15525989   437.15771194     437.15770519    437.15771866   437.15647061     437.15645875    437.15648242
2020-03-23T05:02:35.941     437.15522954     437.15521810    437.15524094   437.15770067     437.15769388    437.15770744   437.15645081     437.15643888    437.15646270
2020-03-23T05:02:36.441     437.15521047     437.15519899    437.15522192   437.15768934     437.15768251    437.15769615   437.15643090     437.15641888    437.15644286
2020-03-23T05:02:36.941     437.15519132     437.15517979    437.15520282   437.15767794     437.15767106    437.15768479   437.15641085     437.15639877    437.15642289
2020-03-23T05:02:37.441     437.15517209     437.15516052    437.15518364   437.15766646     437.15765954    437.15767335   437.15639068     437.15637852    437.15640280
2020-03-23T05:02:37.941     437.15515279     437.15514117    437.15516438   437.15765492     437.15764796    437.15766185   437.15637039     437.15635815    437.15638258
2020-03-23T05:02:38.441     437.15513341     437.15512175    437.15514505   437.15764330     437.15763630    437.15765028   437.15634996     437.15633765    437.15636223
2020-03-23T05:02:38.941     437.15511396     437.15510225    437.15512564   437.15763161     437.15762456    437.15763863   437.15632941     437.15631702    437.15634176
2020-03-23T05:02:39.441     437.15509442     437.15508267    437.15510615   437.15761985     437.15761276    437.15762692   437.15630873     437.15629626    437.15632116
2020-03-23T05:02:39.941     437.15507481     437.15506301    437.15508659   437.15760802     437.15760088    437.15761513   437.15628793     437.15627538    437.15630043
2020-03-23T05:02:40.441     437.15505513     437.15504328    437.15506695   437.15759611     437.15758893    437.15760326   437.15626699     437.15625436    437.15627957
2020-03-23T05:02:40.941     437.15503536     437.15502347    437.15504723   437.15758413     437.15757691    437.15759133   437.15624592     437.15623322    437.15625858
2020-03-23T05:02:41.441     437.15501552     437.15500358    437.15502744   437.15757208     437.15756481    437.15757932   437.15622472     437.15621194    437.15623746
2020-03-23T05:02:41.941     437.15499560     437.15498361    437.15500756   437.15755995     437.15755263    437.15756723   437.15620339     437.15619053    437.15621620
2020-03-23T05:02:42.441     437.15497561     437.15496357    437.15498761   437.15754774     437.15754038    437.15755507   437.15618193     437.15616898    437.15619482
2020-03-23T05:02:42.941     437.15495553     437.15494345    437.15496758   437.15753546     437.15752806    437.15754284   437.15616033     437.15614731    437.15617330
2020-03-23T05:02:43.441     437.15493538     437.15492325    437.15494748   437.15752311     437.15751566    437.15753053   437.15613860     437.15612550    437.15615165
2020-03-23T05:02:43.941     437.15491515     437.15490297    437.15492730   437.15751067     437.15750318    437.15751814   437.15611674     437.15610355    437.15612987
2020-03-23T05:02:44.441     437.15489484     437.15488262    437.15490704   437.15749816     437.15749062    437.15750568   437.15609474     437.15608148    437.15610795
