1.191	166.586	3106311.554	4.969	166.54	2731267.574	0.589	161.666	3171316.075	9.1
1.198	166.587	3105638.15	4.976	166.541	2730596.297	0.595	161.665	3170642.051	9.2
1.204	166.587	3104964.748	4.984	166.542	2729925.027	0.602	161.665	3169968.029	9.3
1.21	166.588	3104291.348	4.991	166.542	2729253.765	0.608	161.665	3169294.007	9.4
1.217	166.589	3103617.949	4.998	166.543	2728582.511	0.614	161.664	3168619.986	9.5
1.223	166.589	3102944.553	5.006	166.543	2727911.264	0.62	161.664	3167945.967	9.6
1.229	166.59	3102271.158	5.013	166.544	2727240.025	0.626	161.664	3167271.948	9.7
1.236	166.59	3101597.766	5.02	166.544	2726568.794	0.633	161.664	3166597.931	9.8
1.242	166.591	3100924.375	5.027	166.545	2725897.571	0.639	161.663	3165923.914	9.9
1.248	166.592	3100250.986	5.035	166.545	2725226.356	0.645	161.663	3165249.899	10
1.255	166.592	3099577.599	5.042	166.546	2724555.148	0.651	161.663	3164575.885	10.1
1.261	166.593	3098904.214	5.049	166.546	2723883.949	0.658	161.662	3163901.872	10.2
1.267	166.594	3098230.831	5.057	166.547	2723212.757	0.664	161.662	3163227.86	10.3
1.274	166.594	3097557.45	5.064	166.547	2722541.573	0.67	161.662	3162553.849	10.4
1.28	166.595	3096884.071	5.071	166.548	2721870.397	0.676	161.662	3161879.84	10.5
1.286	166.595	3096210.694	5.079	166.549	2721199.228	0.682	161.661	3161205.831	10.6
1.293	166.596	3095537.319	5.086	166.549	2720528.068	0.689	161.661	3160531.824	10.7
1.299	166.597	3094863.946	5.093	166.55	2719856.916	0.695	161.661	3159857.818	10.8
1.305	166.597	3094190.575	5.101	166.55	2719185.771	0.701	161.661	3159183.813	10.9
1.312	166.598	3093517.206	5.108	166.551	2718514.635	0.707	161.66	3158509.809	11
1.318	166.598	3092843.839	5.115	166.551	2717843.506	0.714	161.66	3157835.807	11.1
1.324	166.599	3092170.474	5.123	166.552	2717172.386	0.72	161.66	3157161.805	11.2
1.331	166.6	3091497.111	5.13	166.552	2716501.273	0.726	161.659	3156487.805	11.3
1.337	166.6	3090823.75	5.137	166.553	2715830.168	0.732	161.659	3155813.806	11.4
1.344	166.601	3090150.391	5.145	166.553	2715159.072	0.738	161.659	3155139.808	11.5
